sex,AgeGroup,n,Model,RMSE
Female,5-8,16,Ridge_RMSE,2.9131006361693514
Female,5-8,16,XGB_RMSE,3.09991020592083
Female,9-12,29,Ridge_RMSE,1.9453489721994863
Female,9-12,29,XGB_RMSE,2.109981142375207
Female,13-16,26,Ridge_RMSE,1.804451547233019
Female,13-16,26,XGB_RMSE,1.6454863194888438
Female,17-21,11,Ridge_RMSE,3.2587783040418614
Female,17-21,11,XGB_RMSE,3.797471027882424
Female,NA,1,Ridge_RMSE,5.362771380022787
Female,NA,1,XGB_RMSE,8.693408966064453
Male,5-8,26,Ridge_RMSE,1.8379434476623067
Male,5-8,26,XGB_RMSE,1.9108130692923742
Male,9-12,69,Ridge_RMSE,1.5434949127470168
Male,9-12,69,XGB_RMSE,1.8154954649173585
Male,13-16,28,Ridge_RMSE,1.81358733853871
Male,13-16,28,XGB_RMSE,2.5829265621736104
Male,17-21,14,Ridge_RMSE,3.853483536709017
Male,17-21,14,XGB_RMSE,4.450526608514956
